actual_label,actual_label_name,predicted_label,predicted_label_name,error_count,mean_character_count,mean_word_count,percentage_of_all_errors,label_distance
1,positive,0,neutral,211,104.04739336492891,21.303317535545023,20.34715525554484,1
0,neutral,1,positive,171,117.09356725146199,24.280701754385966,16.48987463837994,1
1,positive,2,very_positive,147,97.39455782312925,19.965986394557824,14.175506268081003,1
2,very_positive,1,positive,106,116.55660377358491,24.17924528301887,10.221793635486982,1
-1,negative,0,neutral,88,95.26136363636364,20.022727272727273,8.486017357762778,1
0,neutral,-1,negative,76,111.86842105263158,23.157894736842106,7.328833172613308,1
-1,negative,1,positive,57,123.96491228070175,26.035087719298247,5.49662487945998,2
1,positive,-1,negative,55,128.4181818181818,27.21818181818182,5.303760848601736,2
0,neutral,2,very_positive,34,150.47058823529412,30.38235294117647,3.278688524590164,2
2,very_positive,0,neutral,29,145.10344827586206,30.0,2.796528447444552,2
-2,very_negative,-1,negative,14,164.5,34.0,1.3500482160077145,1
-1,negative,2,very_positive,13,135.84615384615384,29.615384615384617,1.253616200578592,3
2,very_positive,-1,negative,9,102.11111111111111,21.22222222222222,0.8678881388621021,3
-2,very_negative,0,neutral,8,144.875,31.5,0.7714561234329798,2
-2,very_negative,1,positive,6,203.83333333333334,43.166666666666664,0.5785920925747349,3
-1,negative,-2,very_negative,6,54.5,11.166666666666666,0.5785920925747349,1
-2,very_negative,2,very_positive,4,115.25,25.25,0.3857280617164899,4
0,neutral,-2,very_negative,2,66.0,14.5,0.19286403085824494,2
1,positive,-2,very_negative,1,155.0,35.0,0.09643201542912247,3
