actual_label,actual_label_name,support,correct_count,mean_label_distance,mean_character_count,mean_word_count,error_count,accuracy,error_rate
-2,very_negative,37,5,1.7297297297297298,151.21621621621622,31.864864864864863,32,0.13513513513513514,0.8648648648648649
-1,negative,275,111,0.8981818181818182,108.40363636363637,22.78909090909091,164,0.4036363636363636,0.5963636363636363
1,positive,834,420,0.564748201438849,111.60071942446044,23.117505995203835,414,0.5035971223021583,0.49640287769784175
2,very_positive,481,337,0.3970893970893971,104.25155925155926,21.426195426195427,144,0.7006237006237006,0.2993762993762994
0,neutral,992,709,0.3215725806451613,92.40322580645162,18.86592741935484,283,0.7147177419354839,0.2852822580645161
