,precision,recall,f1-score,support
furious,0.8,0.10810810810810811,0.19047619047619047,37.0
angry,0.6236933797909407,0.6509090909090909,0.6370106761565836,275.0
neutral,0.7609561752988048,0.7701612903225806,0.7655310621242485,992.0
happy,0.6590296495956873,0.5863309352517986,0.6205583756345178,834.0
delighted,0.6712564543889845,0.8108108108108109,0.7344632768361582,481.0
accuracy,0.6972126765941199,0.6972126765941199,0.6972126765941199,0.6972126765941199
macro avg,0.7029871318148835,0.5852640470804779,0.5896079162455397,2619.0
weighted avg,0.6981631491648826,0.6972126765941199,0.6920408133086345,2619.0
